sampleid	Sample_Name	Group	Geographic_location_(depth)	Depth	T	Methane	Oxygen
ERR2755205	G03	Greifensee	6.5	6.5	18.48	0.05	47.32
ERR2755206	G04	Greifensee	6.9	6.9	18.0	0.05	2.0
ERR2755207	G05	Greifensee	7.3	7.3	16.61	0.7	0.02
ERR2755208	G06	Greifensee	7.7	7.7	15.29	1.0	0.02
ERR2755209	G07	Greifensee	8.1	8.1	14.28	3.7	0.02
ERR2755210	G08	Greifensee	8.5	8.5	13.32	3.5	0.02
ERR2755211	G09	Greifensee	8.9	8.9	12.55	7.8	0.02
ERR2755212	G10	Greifensee	9.3	9.3	11.37	9.4	0.02
ERR2755213	G11	Greifensee	9.7	9.7	10.39	8.3	0.02
ERR2755214	G12	Greifensee	10.1	10.1	9.8	8.4	0.02
ERR2755215	G13	Greifensee	10.5	10.5	9.12	5.5	0.02
ERR2755216	G14	Greifensee	10.9	10.9	8.61	6.3	0.02
ERR2755217	G15	Greifensee	11.3	11.3	8.32	7.2	0.02
ERR2755218	G16	Greifensee	11.7	11.7	7.97	12.5	0.02
ERR2755219	G17	Greifensee	12.1	12.1	7.65	11.5	0.02
ERR2755220	G18	Greifensee	12.5	12.5	7.37	11.1	0.02
ERR2755221	G19	Greifensee	12.9	12.9	7.26	14.3	0.02
ERR2755222	G02	Greifensee	13.3	13.3	7.15	13.3	0.02
ERR2755223	G01	Greifensee	13.7	13.7	7.12	14.2	0.02
ERR2755224	Z01	Lake Zug	100	100.0	4.65	0.05	37.03
ERR2755225	Z02	Lake Zug	102	102.0	4.64	0.05	32.41
ERR2755226	Z03	Lake Zug	104	104.0	4.64	0.05	23.85
ERR2755227	Z04	Lake Zug	106	106.0	4.63	0.05	24.78
ERR2755228	Z05	Lake Zug	108	108.0	4.62	0.05	21.06
ERR2755229	Z06	Lake Zug	110	110.0	4.62	0.05	15.59
ERR2755230	Z07	Lake Zug	112	112.0	4.61	0.05	15.03
ERR2755231	Z08	Lake Zug	114	114.0	4.61	0.05	12.41
ERR2755232	Z09	Lake Zug	116	116.0	4.6	0.05	8.78
ERR2755233	Z10	Lake Zug	118	118.0	4.6	0.05	3.66
