sample-id,Sample,Site,Latitude/Longitude,ST,STT,Crop,SC,pH,OM,TN,H2O%,TP,AK,TK,AP,NH4+-N,NO3--N,Abundance,PD,PN
#q2:types,categorical,categorical,categorical,categorical,categorical,categorical,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,categorical,numeric,numeric
SRR6872657,S20,Wujiaqu,44°18′N/87°30′E,TAoH,SLS,OS,12.73,7.95,8.34,0.51,12.03,0.72,294.85,21.26,6.41,6.32,16.08,3.67×106,197,985
SRR6872658,S20,Wujiaqu,44°18′N/87°30′E,TAoH,SLS,OS,12.73,7.95,8.34,0.51,12.03,0.72,294.85,21.26,6.41,6.32,16.08,3.67×106,197,985
SRR6872659,S20,Wujiaqu,44°18′N/87°30′E,TAoH,SLS,OS,12.73,7.95,8.34,0.51,12.03,0.72,294.85,21.26,6.41,6.32,16.08,3.67×106,197,985
SRR6872660,S20,Wujiaqu,44°18′N/87°30′E,TAoH,SLS,OS,12.73,7.95,8.34,0.51,12.03,0.72,294.85,21.26,6.41,6.32,16.08,3.67×106,197,985
SRR6872661,S1,Dongtan,44°07′N/87°02′E,HoA,LS,WH,13.85,8.15,12.51,0.72,11.38,0.91,546.8,20.49,49.6,14.01,69.73,7.72×106,210,1111
SRR6872662,S1,Dongtan,44°07′N/87°02′E,HoA,LS,WH,13.85,8.15,12.51,0.72,11.38,0.91,546.8,20.49,49.6,14.01,69.73,7.72×106,210,1111
SRR6872663,S1,Dongtan,44°07′N/87°02′E,HoA,LS,WH,13.85,8.15,12.51,0.72,11.38,0.91,546.8,20.49,49.6,14.01,69.73,7.72×106,210,1111
SRR6872664,S1,Dongtan,44°07′N/87°02′E,HoA,LS,WH,13.85,8.15,12.51,0.72,11.38,0.91,546.8,20.49,49.6,14.01,69.73,7.72×106,210,1111
SRR6872665,S21,Sandaoba,44°06′N/87°40′E,HoA,SLS,CO,12.74,7.8,9.71,0.54,13.63,0.95,335.18,18.8,6.9,7.2,12.3,5.75×106,187,901
SRR6872666,S21,Sandaoba,44°06′N/87°40′E,HoA,SLS,CO,12.74,7.8,9.71,0.54,13.63,0.95,335.18,18.8,6.9,7.2,12.3,5.75×106,187,901
SRR6872667,S7,Corps147,44°36′N/86°08′E,HoA,SS,CO,9.27,7.98,7.47,0.47,13.98,0.71,364.24,20.34,10.16,6.22,42.79,4.03×106,235,1183
SRR6872668,S7,Corps147,44°36′N/86°08′E,HoA,SS,CO,9.27,7.98,7.47,0.47,13.98,0.71,364.24,20.34,10.16,6.22,42.79,4.03×106,235,1183
SRR6872669,S8,Corps148,44°45′N/86°11′E,AsP,SS,CO,1.76,8.66,7.32,0.37,13.81,0.65,203.08,20.49,6.25,6.1,6.88,3.43×106,193,1023
SRR6872670,S8,Corps148,44°45′N/86°11′E,AsP,SS,CO,1.76,8.66,7.32,0.37,13.81,0.65,203.08,20.49,6.25,6.1,6.88,3.43×106,193,1023
SRR6872671,S6,Xinhu,44°28′N/86°15′E,TAoH,SS,WH,15.18,8.3,17.56,0.92,16.71,0.83,480.98,19.98,17.87,6.83,18.49,1.32×106,149,728
SRR6872672,S6,Xinhu,44°28′N/86°15′E,TAoH,SS,WH,15.18,8.3,17.56,0.92,16.71,0.83,480.98,19.98,17.87,6.83,18.49,1.32×106,149,728
SRR6872673,S7,Corps147,44°36′N/86°08′E,HoA,SS,CO,9.27,7.98,7.47,0.47,13.98,0.71,364.24,20.34,10.16,6.22,42.79,4.03×106,235,1183
SRR6872674,S7,Corps147,44°36′N/86°08′E,HoA,SS,CO,9.27,7.98,7.47,0.47,13.98,0.71,364.24,20.34,10.16,6.22,42.79,4.03×106,235,1183
SRR6872675,S8,Corps148,44°45′N/86°11′E,AsP,SS,CO,1.76,8.66,7.32,0.37,13.81,0.65,203.08,20.49,6.25,6.1,6.88,3.43×106,193,1023
SRR6872676,S8,Corps148,44°45′N/86°11′E,AsP,SS,CO,1.76,8.66,7.32,0.37,13.81,0.65,203.08,20.49,6.25,6.1,6.88,3.43×106,193,1023
SRR6872677,S21,Sandaoba,44°06′N/87°40′E,HoA,SLS,CO,12.74,7.8,9.71,0.54,13.63,0.95,335.18,18.8,6.9,7.2,12.3,5.75×106,187,901
SRR6872678,S21,Sandaoba,44°06′N/87°40′E,HoA,SLS,CO,12.74,7.8,9.71,0.54,13.63,0.95,335.18,18.8,6.9,7.2,12.3,5.75×106,187,901
SRR6872679,S22,Shuichengzi,44°12′N/87°52′E,HoA,SLS,WH,11.95,7.84,12.24,0.61,16.11,1.14,283.21,18.81,18.72,6.21,7.37,9.50×106,198,996
SRR6872680,S22,Shuichengzi,44°12′N/87°52′E,HoA,SLS,WH,11.95,7.84,12.24,0.61,16.11,1.14,283.21,18.81,18.72,6.21,7.37,9.50×106,198,996
SRR6872681,S22,Shuichengzi,44°12′N/87°52′E,HoA,SLS,WH,11.95,7.84,12.24,0.61,16.11,1.14,283.21,18.81,18.72,6.21,7.37,9.50×106,198,996
SRR6872682,S22,Shuichengzi,44°12′N/87°52′E,HoA,SLS,WH,11.95,7.84,12.24,0.61,16.11,1.14,283.21,18.81,18.72,6.21,7.37,9.50×106,198,996
SRR6872683,S23,Liuyunhu,44°11′N/87°58′E,OaC,SLS,WH,1.3,8.24,19.2,1.09,17.67,1.01,345.57,20.91,8.47,6.11,41.58,1.32×107,185,994
SRR6872684,S23,Liuyunhu,44°11′N/87°58′E,OaC,SLS,WH,1.3,8.24,19.2,1.09,17.67,1.01,345.57,20.91,8.47,6.11,41.58,1.32×107,185,994
SRR6872685,S23,Liuyunhu,44°11′N/87°58′E,OaC,SLS,WH,1.3,8.24,19.2,1.09,17.67,1.01,345.57,20.91,8.47,6.11,41.58,1.32×107,185,994
SRR6872686,S23,Liuyunhu,44°11′N/87°58′E,OaC,SLS,WH,1.3,8.24,19.2,1.09,17.67,1.01,345.57,20.91,8.47,6.11,41.58,1.32×107,185,994
SRR6872687,S4,Fangcaohu,44°30′N/86°43′E,POaC,SS,CO,24.35,8.24,6.94,0.43,10.85,0.69,333.02,19.25,10.79,9.6,98.49,3.58×106,190,1009
SRR6872688,S4,Fangcaohu,44°30′N/86°43′E,POaC,SS,CO,24.35,8.24,6.94,0.43,10.85,0.69,333.02,19.25,10.79,9.6,98.49,3.58×106,190,1009
SRR6872689,S4,Fangcaohu,44°30′N/86°43′E,POaC,SS,CO,24.35,8.24,6.94,0.43,10.85,0.69,333.02,19.25,10.79,9.6,98.49,3.58×106,190,1009
SRR6872690,S4,Fangcaohu,44°30′N/86°43′E,POaC,SS,CO,24.35,8.24,6.94,0.43,10.85,0.69,333.02,19.25,10.79,9.6,98.49,3.58×106,190,1009
SRR6872691,S5,Manasi,44°25′N/86°19′E,TAoH,SLS,OS,2.7,7.81,7.72,0.44,8.54,0.74,185.99,19.68,13.75,5.78,10.32,1.09×106,183,973
SRR6872692,S5,Manasi,44°25′N/86°19′E,TAoH,SLS,OS,2.7,7.81,7.72,0.44,8.54,0.74,185.99,19.68,13.75,5.78,10.32,1.09×106,183,973
SRR6872693,S5,Manasi,44°25′N/86°19′E,TAoH,SLS,OS,2.7,7.81,7.72,0.44,8.54,0.74,185.99,19.68,13.75,5.78,10.32,1.09×106,183,973
SRR6872694,S5,Manasi,44°25′N/86°19′E,TAoH,SLS,OS,2.7,7.81,7.72,0.44,8.54,0.74,185.99,19.68,13.75,5.78,10.32,1.09×106,183,973
SRR6872695,S6,Xinhu,44°28′N/86°15′E,TAoH,SS,WH,15.18,8.3,17.56,0.92,16.71,0.83,480.98,19.98,17.87,6.83,18.49,1.32×106,149,728
SRR6872696,S6,Xinhu,44°28′N/86°15′E,TAoH,SS,WH,15.18,8.3,17.56,0.92,16.71,0.83,480.98,19.98,17.87,6.83,18.49,1.32×106,149,728
SRR6872697,S10,Sidaohezi,44°43′N/85°41′E,POaC,SS,CO,6.57,7.8,10.99,0.64,11.9,0.77,291.99,22.14,28.62,7.13,75.77,7.37×106,223,1151
SRR6872698,S10,Sidaohezi,44°43′N/85°41′E,POaC,SS,CO,6.57,7.8,10.99,0.64,11.9,0.77,291.99,22.14,28.62,7.13,75.77,7.37×106,223,1151
SRR6872699,S10,Sidaohezi,44°43′N/85°41′E,POaC,SS,CO,6.57,7.8,10.99,0.64,11.9,0.77,291.99,22.14,28.62,7.13,75.77,7.37×106,223,1151
SRR6872700,S10,Sidaohezi,44°43′N/85°41′E,POaC,SS,CO,6.57,7.8,10.99,0.64,11.9,0.77,291.99,22.14,28.62,7.13,75.77,7.37×106,223,1151
SRR6872701,S11,Paotai,44°48′N/85°31′E,AsP,SS,CO,11.33,8.09,14.06,0.86,11.66,0.91,839.9,21.58,71.88,6.62,85.14,1.14×107,217,1083
SRR6872702,S11,Paotai,44°48′N/85°31′E,AsP,SS,CO,11.33,8.09,14.06,0.86,11.66,0.91,839.9,21.58,71.88,6.62,85.14,1.14×107,217,1083
SRR6872703,S11,Paotai,44°48′N/85°31′E,AsP,SS,CO,11.33,8.09,14.06,0.86,11.66,0.91,839.9,21.58,71.88,6.62,85.14,1.14×107,217,1083
SRR6872704,S11,Paotai,44°48′N/85°31′E,AsP,SS,CO,11.33,8.09,14.06,0.86,11.66,0.91,839.9,21.58,71.88,6.62,85.14,1.14×107,217,1083
SRR6872705,S12,Shamenzi,44°55′N/85°18′E,COaC,SS,CO,4.57,7.86,3.86,0.25,9.56,0.61,116.54,21.31,4.4,5.24,12.98,2.16×106,195,944
