sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape	cell_diameter_nsti	cell_length_nsti	doubling_h_nsti	growth_tmp_nsti	optimum_tmp_nsti	optimum_ph_nsti	genome_size_nsti	gc_content_nsti	coding_genes_nsti	rRNA16S_genes_nsti	tRNA_genes_nsti	gram_stain_nsti	sporulation_nsti	motility_nsti	range_salinity_nsti	facultative_respiration_nsti	anaerobic_respiration_nsti	aerobic_respiration_nsti	mesophilic_range_tmp_nsti	thermophilic_range_tmp_nsti	psychrophilic_range_tmp_nsti	bacillus_cell_shape_nsti	coccus_cell_shape_nsti	filament_cell_shape_nsti	coccobacillus_cell_shape_nsti	vibrio_cell_shape_nsti	spiral_cell_shape_nsti
f5ea1ae5126731a0f1340338888e751f	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1.30918	1.30918	1.30918	1.30918	1.30918	1.30918	0.982979	0.982979	1.30918	1.30918	1.30918	1.30918	1.30918	1.30918	1.805279	1.30918	1.30918	1.30918	0.982979	0.982979	0.982979	1.30918	1.30918	1.30918	1.30918	1.30918	1.30918
55f16af60e2b6305277a3490e257c847	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1.308265	1.308265	1.308265	1.308265	1.308265	1.308265	0.982064	0.982064	1.308265	1.308265	1.308265	1.308265	1.308265	1.308265	1.804364	1.308265	1.308265	1.308265	0.982064	0.982064	0.982064	1.308265	1.308265	1.308265	1.308265	1.308265	1.308265
c6096fc948b673b60eb0266669371f5a	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1.329676	1.329676	1.329676	1.329676	1.329676	1.329676	1.003475	1.003475	1.329676	1.329676	1.329676	1.329676	1.329676	1.329676	1.825775	1.329676	1.329676	1.329676	1.003475	1.003475	1.003475	1.329676	1.329676	1.329676	1.329676	1.329676	1.329676
142591a7336665437b22406dbd8657ad	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	1.333067	1.333067	1.333067	1.333067	1.333067	1.333067	1.006866	1.006866	1.333067	1.333067	1.333067	1.333067	1.333067	1.333067	1.829166	1.333067	1.333067	1.333067	1.006866	1.006866	1.006866	1.333067	1.333067	1.333067	1.333067	1.333067	1.333067
01ab60fc6ddcd92efcb97d1c956ebb3d	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1.337388	1.337388	1.337388	1.337388	1.337388	1.337388	1.011187	1.011187	1.337388	1.337388	1.337388	1.337388	1.337388	1.337388	1.833487	1.337388	1.337388	1.337388	1.011187	1.011187	1.011187	1.337388	1.337388	1.337388	1.337388	1.337388	1.337388
f0050495e2a5983822593d57595b8157	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1.34187	1.34187	1.34187	1.34187	1.34187	1.34187	1.015669	1.015669	1.34187	1.34187	1.34187	1.34187	1.34187	1.34187	1.837969	1.34187	1.34187	1.34187	1.015669	1.015669	1.015669	1.34187	1.34187	1.34187	1.34187	1.34187	1.34187
32c4c3676ae11631e69ed398284e8e91	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1.320823	1.320823	1.320823	1.320823	1.320823	1.320823	0.994622	0.994622	1.320823	1.320823	1.320823	1.320823	1.320823	1.320823	1.816922	1.320823	1.320823	1.320823	0.994622	0.994622	0.994622	1.320823	1.320823	1.320823	1.320823	1.320823	1.320823
ec1e568c0687b8f9c52784d82dfbb7c7	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1.32022	1.32022	1.32022	1.32022	1.32022	1.32022	0.994019	0.994019	1.32022	1.32022	1.32022	1.32022	1.32022	1.32022	1.816319	1.32022	1.32022	1.32022	0.994019	0.994019	0.994019	1.32022	1.32022	1.32022	1.32022	1.32022	1.32022
c0a04cf8301bfcac94e19dd8f7aa01d0	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	1.32942	1.32942	1.32942	1.32942	1.32942	1.32942	1.003219	1.003219	1.32942	1.32942	1.32942	1.32942	1.32942	1.32942	1.825519	1.32942	1.32942	1.32942	1.003219	1.003219	1.003219	1.32942	1.32942	1.32942	1.32942	1.32942	1.32942
87df22f2676ffc06a016f0344a196288	-0.286	0.225	 0.47	56.16	54.88	6.732	2.407e+06	47.46	 2627	2.931	55.02	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1.330417	1.330417	1.330417	1.330417	1.330417	1.330417	1.004216	1.004216	1.330417	1.330417	1.330417	1.330417	1.330417	1.330417	1.826516	1.330417	1.330417	1.330417	1.004216	1.004216	1.004216	1.330417	1.330417	1.330417	1.330417	1.330417	1.330417
